Date,Symbol,Open,High,Low,Last,Close,Volume
2022-06-13,ABB,2295.0,2354.3,2252.0,2327.0,2337.45,157963
2022-06-14,ABB,2330.0,2364.0,2303.3,2317.1,2321.35,151551
2022-06-15,ABB,2339.75,2339.75,2295.0,2300.1,2304.7,283896
2022-06-16,ABB,2322.15,2358.0,2185.55,2236.0,2243.95,359448
2022-06-17,ABB,2230.1,2279.05,2132.0,2191.0,2173.15,188864
2022-06-20,ABB,2148.0,2204.1,2120.0,2175.0,2187.95,184960
2022-06-21,ABB,2190.0,2264.4,2178.05,2218.9,2227.85,160680
2022-06-22,ABB,2231.05,2245.5,2188.0,2210.0,2215.95,95802
2022-06-23,ABB,2233.0,2310.0,2213.65,2267.0,2290.75,292754
2022-06-24,ABB,2292.95,2310.0,2250.05,2284.0,2290.35,190440
2022-06-27,ABB,2304.0,2360.0,2273.05,2288.0,2292.55,289818
2022-06-28,ABB,2291.95,2302.25,2272.9,2285.0,2284.8,72430
2022-06-29,ABB,2279.95,2325.0,2230.0,2300.0,2310.2,248063
2022-06-30,ABB,2314.0,2328.95,2276.75,2290.0,2300.9,122566
2022-07-01,ABB,2260.35,2311.5,2260.35,2280.0,2275.45,97053
2022-07-04,ABB,2278.4,2372.7,2266.1,2358.8,2361.5,192539
2022-07-05,ABB,2381.0,2405.0,2344.25,2366.0,2364.75,376434
2022-07-06,ABB,2374.8,2530.0,2370.0,2528.1,2517.0,1037060
2022-07-07,ABB,2540.0,2589.45,2526.55,2572.0,2562.45,667857
2022-07-08,ABB,2569.95,2612.3,2554.0,2598.0,2589.1,534204
2022-07-11,ABB,2600.0,2630.0,2576.1,2598.05,2610.85,187883
2022-07-12,ABB,2607.0,2609.0,2529.1,2530.0,2540.8,204632
2022-07-13,ABB,2542.0,2572.25,2515.0,2544.0,2544.7,187311
2022-07-14,ABB,2544.0,2571.0,2502.7,2542.9,2548.35,204252
2022-07-15,ABB,2530.1,2575.15,2521.0,2563.05,2559.45,389496
2022-07-18,ABB,2579.0,2597.5,2554.1,2581.4,2586.55,205877
2022-07-19,ABB,2570.0,2638.7,2556.0,2570.0,2590.9,210716
2022-07-20,ABB,2586.1,2626.8,2575.15,2600.0,2598.55,258551
2022-07-21,ABB,2600.0,2835.0,2594.0,2764.9,2772.75,1136196
2022-07-22,ABB,2800.4,2800.4,2686.85,2705.0,2696.4,355041
2022-07-25,ABB,2713.0,2713.0,2636.5,2659.5,2662.9,292148
2022-07-26,ABB,2676.55,2762.95,2635.4,2717.0,2713.4,544688
2022-07-27,ABB,2713.4,2750.0,2690.4,2720.05,2728.15,250057
2022-07-28,ABB,2744.95,2748.0,2685.95,2737.0,2722.25,335265
2022-07-29,ABB,2758.55,2811.0,2701.35,2735.0,2736.15,248397
2022-08-01,ABB,2744.0,2808.2,2724.0,2735.15,2745.65,363460
2022-08-02,ABB,2744.9,2824.35,2729.35,2747.95,2759.55,366158
2022-08-03,ABB,2759.9,2768.0,2666.75,2672.85,2671.6,461656
2022-08-04,ABB,2689.0,2716.0,2642.0,2670.0,2668.35,303228
2022-08-05,ABB,2683.6,2742.0,2675.35,2684.8,2688.2,272399
2022-08-08,ABB,2694.95,2797.0,2676.1,2716.0,2721.1,382934
2022-08-10,ABB,2850.0,2850.0,2745.0,2771.0,2770.4,1043450
2022-08-11,ABB,2794.95,2836.95,2780.0,2798.8,2798.3,326247
2022-08-12,ABB,2811.8,2837.7,2786.1,2794.2,2797.25,386571
2022-08-16,ABB,2819.95,2905.0,2807.0,2900.0,2898.0,833499
2022-08-17,ABB,2909.1,2924.1,2870.0,2875.95,2891.75,481683
2022-08-18,ABB,2878.95,2935.0,2874.0,2891.95,2890.5,459776
2022-08-19,ABB,2903.95,2924.75,2813.5,2884.85,2888.35,335377
2022-08-22,ABB,2875.0,2917.1,2852.1,2864.0,2869.55,232574
2022-08-23,ABB,2845.0,2910.9,2845.0,2858.15,2868.1,574029
2022-08-24,ABB,2870.0,3089.9,2868.1,3065.0,3060.45,843342
2022-08-25,ABB,3050.0,3174.0,3041.0,3143.0,3144.4,810380
2022-08-26,ABB,3151.0,3209.7,3106.0,3170.0,3170.65,519283
2022-08-29,ABB,3140.0,3221.95,3085.55,3199.0,3196.45,501630
2022-08-30,ABB,3200.95,3273.25,3155.9,3261.3,3262.75,574816
2022-09-01,ABB,3254.9,3429.35,3244.8,3392.0,3403.7,1034069
2022-09-02,ABB,3390.0,3446.3,3360.0,3369.9,3368.9,560330
2022-09-05,ABB,3350.0,3388.0,3253.65,3291.0,3289.2,587410
2022-09-06,ABB,3317.9,3376.0,3306.55,3357.25,3362.05,407055
2022-09-07,ABB,3351.0,3380.0,3265.0,3311.25,3310.3,382798
2022-09-08,ABB,3336.65,3379.0,3312.0,3317.0,3318.25,363161
2022-09-09,ABB,3333.0,3356.95,3305.0,3315.0,3314.65,215708
2022-09-12,ABB,3330.0,3350.0,3310.25,3343.0,3329.6,179592
2022-09-13,ABB,3360.0,3433.65,3341.25,3350.0,3358.85,435755
2022-09-14,ABB,3309.9,3355.95,3271.0,3296.05,3288.65,299457
2022-09-15,ABB,3316.7,3346.95,3267.05,3290.0,3296.95,288585
2022-09-16,ABB,3304.0,3315.8,3100.0,3165.0,3180.15,482246
2022-09-19,ABB,3188.0,3223.3,3106.05,3152.8,3157.8,342412
2022-09-20,ABB,3184.2,3218.8,3131.1,3150.0,3150.55,252096
2022-09-21,ABB,3162.65,3200.0,3125.0,3139.0,3129.65,199589
2022-09-22,ABB,3136.3,3219.95,3100.0,3158.1,3144.1,334012
2022-09-23,ABB,3172.4,3172.4,3110.45,3137.0,3124.65,162047
2022-09-26,ABB,3124.0,3125.45,2966.05,3000.0,3002.2,295539
2022-09-27,ABB,3001.0,3050.0,2968.0,3040.0,3032.75,398174
2022-09-28,ABB,3027.0,3069.5,2991.6,3020.0,3009.7,344491
2022-09-29,ABB,3050.0,3050.0,2973.0,3007.25,2996.2,291653
2022-09-30,ABB,3014.85,3155.0,2992.0,3074.75,3088.4,310742
2022-10-03,ABB,3074.75,3125.1,2983.45,2998.1,2994.8,388862
2022-10-04,ABB,3059.45,3115.0,3040.0,3079.85,3080.8,313948
2022-10-06,ABB,3108.75,3237.3,3080.8,3195.9,3188.85,507339
2022-10-07,ABB,3204.0,3309.9,3177.7,3300.0,3296.1,601549
2022-10-10,ABB,3281.95,3281.95,3209.05,3240.05,3230.55,204689
2022-10-11,ABB,3239.0,3291.0,3185.0,3185.1,3197.05,294944
2022-10-12,ABB,3217.0,3259.85,3173.0,3247.7,3247.5,223256
2022-10-13,ABB,3259.0,3306.7,3238.2,3269.25,3265.85,393950
2022-10-14,ABB,3312.0,3335.0,3175.0,3205.4,3194.3,307787
2022-10-17,ABB,3190.05,3231.75,3153.3,3196.1,3196.55,303859
2022-10-18,ABB,3230.0,3273.9,3185.6,3217.95,3211.6,210090
2022-10-19,ABB,3227.0,3248.7,3203.15,3235.0,3238.3,263584
2022-10-20,ABB,3235.0,3235.0,3070.5,3126.3,3132.8,438628
2022-10-21,ABB,3145.55,3175.35,3020.0,3027.0,3041.25,364038
2022-10-24,ABB,3060.0,3076.9,3046.8,3051.0,3052.8,16594
2022-10-25,ABB,3074.95,3086.25,3020.6,3049.9,3055.25,263091
2022-10-27,ABB,3074.0,3078.0,3006.15,3043.15,3039.4,250705
2022-10-28,ABB,3035.0,3035.0,2945.0,2961.05,2962.1,336034
2022-10-31,ABB,2962.0,3061.85,2961.6,3059.95,3049.75,319759
2022-11-03,ABB,3159.15,3288.2,3135.1,3223.0,3225.25,362379
2022-11-04,ABB,3235.0,3267.5,3201.0,3220.0,3219.9,226208
